,Cleansing Abstrak
33,  peran orangtua dampingi anak ikut pembelajaran daring
34,tingkatkan efektivitas belajar dari rumah  kelas pintar sajikan  sekolah  virtual
35,libatkan anak dalam pekerjaan rumah tangga  ini manfaatnya
36,di masa pandemi  orangtua berperan dalam pendidikan karakter anak
37,menakar peluang pembelajaran daring efektif masuki era  new normal  pendidikan
38,kemendikbud siapkan pelatihan pembelajaran daring untuk   dosen
39,panduan pembelajaran di masa covid  dinilai belum sentuh masalah kualitas belajar
40,pembelajaran daring dan biaya jadi tantangan pendidikan tinggi pascapandemi
41,kisah izzan saat pembelajaran daring  guru pesantren jadi sosok ibu 
42,guru  ini pedoman pelaksanaan belajar dari rumah selama covid 
43,dirjen gtk  melek teknologi adalah hikmah covid 
44,strategi belajar dari rumah dengan dan tanpa internet di tahun ajaran baru
45,kemdikbud  guru diimbau tak bebani anak paud dan orangtua dengan tugas
46, codar  agar pembelajaran daring tidak ambyar di tengah corona
47,akademisi ub   wfh  munculkan tekanan sosial baru  salah satunya stres
48,covid  bisa jadi momentum tingkatkan kemampuan pembelajaran daring
49,akademisi ub  profesi guru tak bisa diganti teknologi di masa covid 
50,perkuat kompetensi guru  eduversal gelar webinar mengajar daring di hari pendidikan
51,hardiknas   itb luncurkan lms  edunex  untuk dukung kuliah daring
52,ingin belajar di rumah lebih optimal  ini   tips bagi siswa
53,pemerintah diminta gratiskan internet untuk pembelajaran daring
54,pemerintah diminta segera tetapkan kurikulum pembelajaran jarak jauh
55,kpai terima   pengaduan pembelajaran jarak jauh  mayoritas keluhkan beratnya tugas dari guru
56,cerita guru sekolah cikal terapkan pembelajaran daring penuh antusias
57,anak stres belajar di rumah  ini tips dari  sekolah lawan corona 
58,kantor pemerintahan wfh sekolah daring selama ktt asean
59,wali kota eri  pelajar pekerja surabaya wfh saat puncak harlah   abad nu
60,sekolah di kuta dan kuta selatan siap belajar daring saat g 
61,perkantoran di kuta dan denpasar selatan terapkan wfh selama ktt g 
62,polemik aturan siswa pekanbaru boleh ikut ptm harus vaksin dulu
63,tak punya hp  siswi mts di cianjur putus sekolah tak bisa ikuti pjj
64,  siswa sman   tuban positif covid  proses belajar kembali daring
65,guru positif covid  ptm di sdn kebonsari kota pasuruan dihentikan
66,  siswa positif covid  smk swasta di kota blitar belajar daring   pekan
67,  siswa sman   bawang banjarnegara reaktif corona  ptm disetop
68,siswa   sd di lamongan terpaksa belajar daring karena kelas terendam banjir
69,sekolah man kota pasuruan kebakaran  siswa belajar daring
70,sidak ptm  bupati cianjur temukan siswa kelas   sd belum bisa baca
71,  provinsi dengan akses internet tertinggi   terendah untuk belajar online
72,unicef  banyak siswa harus berbagi smartphone demi belajar daring
73,siswa di ri sulit sekolah daring  unicef rilis   rekomendasi belajar
74,ortu siswa harap ptm terus dilanjutkan  belajar daring banyak kendala
75,warung kopi di atas bukit ini sediakan wifi gratis buat pelajar
76,imbas pjj  kadisdik kuningan  ada siswa belum bisa baca tulis
77,setahun pandemi  sd di solo masih pakai ht untuk belajar
78,asyik  kuota belajar akan cair bulan depan
79,  desa di cianjur blank spot  siswa kesulitan sekolah daring
80,tahun ajaran baru  pelajar kembali belajar secara daring
81,bantuan kuota internet belajar online disetop  pemprov jatim surati mendikbud
82,mahasiswa uny gagas relawan untuk bantu siswa yang kesulitan belajar
83,aliansi pelajar surabaya tolak belajar daring
84,jika surabaya tunda pembelajaran tatap muka  belajar daring harus inovatif
85,  pelajar di lebak putus sekolah gegara tak kuat belajar daring
86,manfaatkan waktu luang  pelajar bandung ubah kayu bekas jadi kerajinan
87,bri beri tips belajar mengajar daring menyenangkan  seperti apa 
88,rumah pintar jadi solusi belajar anak anak di desa sulit sinyal internet
89,mahasiswa uk petra bikin aplikasi atur durasi anak nge game saat daring
90,sekolah tatap muka di depan mata  siswa senang tapi malas bangun pagi
91,guru sd dan smp di surabaya mulai gelar belajar daring dari sekolah
92,internet gratis untuk siswa belajar daring
93,belajar dalam serba keterbatasan
94,bantu siswa belajar daring  pengusaha muda ini bikin konten membatik
95,yayasan kemala bhayangkari salurkan   laptop untuk siswa belajar daring
96,kemdikbud hingga tvri disomasi karena tayangkan film tanpa izin
97,pks dki soroti raperda corona tak muat soal proses belajar saat pandemi
98,pelajari tata surya lebih mudah dengan aplikasi tiga dimensi
99,cara berkomunikasi efektif dengan anak selama pandemi covid 
100,angka pernikahan dini naik   kali lipat di ponorogo  gegara belajar daring 
101,polda papua datangi pulau kosong  ajar siswa karena tak bisa belajar daring
102,sebelum pasang wifi gratis  pemkab malang pastikan ketersediaan sinyal
103,pelajar harus tahu  ini   tips belajar efektif dan fokus dari rumah
104,gegara ada logo pdip  sbo tv setop live belajar daring
105,sila ke  pancasila jadi logo pdip saat belajar daring  dispendik minta maaf
106,ratusan ribu kartu perdana untuk belajar daring didistribusikan di jatim
107,siswa dan guru di surabaya dapat kuota internet gratis  segera input no hp
108,pemprov jabar akan bagikan   juta kartu kuota   gb gratis untuk pelajar
109,mobil internet bergerak  solusi belajar daring bagi siswa di pelosok
110,susah sinyal  pelajar di polman tempuh   km ke bukit untuk belajar online
111,nadiem makarim bicara risiko menyeramkan pembelajaran jarak jauh
112,emak emak demo dinas pendidikan jombang tuntut belajar tatap muka
113,kuota internet gratis   juta siswa sma smk di jatim diberikan september
114,gubernur sumsel kumpulkan provider atasi masalah sinyal belajar daring
115,markas tni di polman  diserbu  anak anak yang belajar secara daring
116,asyek   siswa di   smpn kota blitar dapat bantuan kuota internet
117,dukung siswa belajar online  pemkab aceh tamiang pasang wifi gratis di masjid
118,tni lamongan sediakan wifi gratis dukung belajar daring
119,gegara pendidikan daring  mpr    dari   juta siswa belum aman
120,asyik  ada wi fi gratis nih bagi anak sekolah di cipete
121,fx rudy akan bagi bagi smartphone gratis ke siswa miskin di solo
122,siswi sd ini bawakan nasi jagung untuk ganjar   curhat soal banyak pr
123,mako brimob di ambon sediakan wifi gratis untuk pelajar di tengah pandemi
124,kisah seorang siswa sd rela pungut cengkeh demi kuota internet
125,iklan pornografi yang viral gegara nyelip di situs belajar daring
126,asynchronous adalah model pembelajaran daring  kenali kelebihan dan kekurangannya
127,tangis bapak pencuri ponsel untuk belajar daring anak pecah usai diputus bebas
128,cerita miris guru di ntt  rela panggul siswa demi dapat sinyal saat belajar online
129,studi    dari   anak mengaku jarang belajar selama pandemi covid 
130,jenuh belajar di rumah  siswa man di gorontalo antusias ikut vaksinasi covid 
131,universitas indonesia luncurkan platform pembelajaran online makara ui academy
132,guru melek teknologi dengan workshop virtual pembuatan media pembelajaran daring
133,belajar daring  siswa di pedalaman ende terpaksa masuk hutan demi sinyal
134,meski belajar secara daring  danny berharap siswa siswi di makassar tetap semangat
135,puluhan pelajar tak naik kelas  disdik sumsel  jangan jadikan covid  kambing hitam
136,viral guru tuliskan materi pelajaran di lantai  aksinya bikin salut
137,kemendikbudristek sebut tak semua siswa bisa maksimal belajar daring
138,sos children s villages bantu pembelajaran jarak jauh dengan komputer dan internet
139,saat siswa siswa di halmahera harus ujian di bawah pohon kelapa
140,ada   titik tanpa sinyal  pemkab lebak siapkan belajar tatap muka
141,dampak covid  untuk siswa sma di gorontalo  pergaulan bebas hingga menikah dini
142,belajar daring jadi tantangan saat pandemi  ini bisa jadi solusi
143,simak   tips jaga keamanan digital anak saat menjelajahi dunia maya
144,catat    cara lindungi mata anak selama belajar daring
145,jenuh belajar daring  siswa sd di garut  hijrah  jadi pengamen boneka
146,siswa di kota madiun masih harus betah belajar dari rumah
147,masih zona merah covid  belajar daring di palembang kembali diperpanjang
148,  tips bikin suasana belajar online yang menyenangkan di rumah
149,agar tak bosan  viral aksi siswa nge rap pakai materi pelajaran sejarah
150,gunakan pakaian adat saat mengajar secara daring  guru ini curi perhatian warganet
151,pro kontra belajar tatap muka saat pendemi covid  di riau
152,penerima bantuan paket kuota internet dari kemendikbud meningkat hingga   juta
153,anak harus tetap dibiasakan menulis dengan tangan meski belajar daring
154,cerita siswa smp yang nilainya kosong selama   semester karena tak punya gawai
155,cara efektif belajar daring di masa pandemi covid  ini saran kak seto
156,satu satunya siswa yang tak punya ponsel  agung terpaksa ujian tatap muka di sekolah
157,zona hijau covid  siswa sd dan smp di talaud mulai belajar di sekolah
158,bantu siswa kurang mampu belajar daring  gubernur sulut gelontorkan miliaran rupiah
159,aplikasi gratis merdeka belajar sebagai wujud bakti untuk negeri
160,wi fi gratis ditpolairud sulut untuk siswa di pesisir pantai kota bitung
161,deretan fakta terkait belajar online sebabkan anak sd meninggal dunia
162,guru minta maaf terkait muncul logo pdip saat belajar daring
163,bagi bagi kuota internet   gb rp  untuk   ribu pelajar di kota kupang
164,cara telkomsel penuhi kebutuhan jaringan internet belajar daring di sumsel
165,semangat bocah difabel di ntt belajar bersama guru berhati mulia
166,belajar daring lewat radio diterapkan di musi banyuasin selama pandemi covid 
167,pelajar di sumsel segera terima paket internet gratis selama belajar daring di rumah
168,nasib siswa di kota bogor    bulan bolos belajar daring karena tak miliki hp
169,gus jazil  pendidikan jarak jauh tidak bisa mengajarkan adab dan sopan santun
170,smrc    persen siswa merasa pembelajaran daring banyak masalah
171,kisah nelangsa novi  pelajar cerdas gunungkidul yang terpaksa pinjam ponsel di konter
172,pemkab trenggalek kenalkan metode belajar bauran di tengah covid 
173,kurangi beban siswa  sma di sidoarjo ini bagikan kuota internet gratis
174,smp di kota kupang mulai belajar tatap muka  begini sistemnya
175,cara siswa demi belajar daring  pakai ht hingga cari sinyal di pemakaman
176,bison  fasilitas belajar daring gratis bagi siswa dari undika surabaya
177,kisah pemilik toko listrik di bandung  sediakan wifi gratis bantu siswa belajar daring
178,ratusan rw di kota tangerang difasilitasi internet gratis untuk belajar daring
179,langkah siswa berkebutuhan khusus di ntt terseok seok ikuti belajar daring
180,tak ada jaringan internet  pelajar di ntt sekolah tatap muka di bawah pohon
181,keterbatasan memaksa siswa di bangkalan belajar di kantor polisi
182,belajar daring  pelajar manfaatkan wifi pendopo kecamatan tambaksari surabaya
183,miris  ayah di garut nekat curi hp agar anaknya bisa belajar online
184,tak mampu beli hp  pelajar smp di pedalaman siak cari tumpangan untuk belajar online
185,perjuangan pelajar di agam mendaki bukit demi dapat sinyal untuk sekolah
186,cek fakta  hoaks foto siswi pilih bunuh diri karena tak punya ponsel untuk belajar daring
187,top   surabaya  dprd minta dana bos untuk biayai belajar daring
188,dprd surabaya minta dana bos untuk biayai belajar daring
189,belajar online bikin kurang gerak  ortu perlu ajarkan anak gaya hidup aktif
190,warkop pitulikur surabaya fasilitasi siswa belajar daring siang hingga malam
191,ada   titik tak terjangkau internet  belajar daring di jabar terhambat
192,pemprov dki pastikan pembelajaran tahun ajaran baru masih secara daring
193,agar belajar online tetap efektif  ini   tips dari gugus tugas
194,kemendikbud  belajar online masih ada sedikit kekurangan
195,tahun ajaran baru di jabar  siswa masih belajar secara daring
196,mendikbud  guru penentu kualitas pembelajaran daring di tengah pandemi covid 
197,new normal sekolah  lpai  perlu modifikasi teknik belajar mengajar
198,kisah kiswanto ajari siswa di desa transmigrasi jambi bermodal sinyal pas pasan
199, tokoh peduli pendidikan ini berbagi cara belajar daring yang seru dan efektif
