,Judul Berita
128,"cerita miris guru di ntt, rela panggul siswa demi dapat sinyal saat belajar online"
129,studi: 7 dari 10 anak mengaku jarang belajar selama pandemi covid-19
130,"jenuh belajar di rumah, siswa man di gorontalo antusias ikut vaksinasi covid-19"
131,universitas indonesia luncurkan platform pembelajaran online makara ui academy
132,guru melek teknologi dengan workshop virtual pembuatan media pembelajaran daring
133,"belajar daring, siswa di pedalaman ende terpaksa masuk hutan demi sinyal"
134,"meski belajar secara daring, danny berharap siswa-siswi di makassar tetap semangat"
135,"puluhan pelajar tak naik kelas, disdik sumsel: jangan jadikan covid-19 kambing hitam"
136,"viral guru tuliskan materi pelajaran di lantai, aksinya bikin salut"
137,kemendikbudristek sebut tak semua siswa bisa maksimal belajar daring
138,sos children's villages bantu pembelajaran jarak jauh dengan komputer dan internet
139,saat siswa-siswa di halmahera harus ujian di bawah pohon kelapa
140,"ada 52 titik tanpa sinyal, pemkab lebak siapkan belajar tatap muka"
141,"dampak covid-19 untuk siswa sma di gorontalo, pergaulan bebas hingga menikah dini"
142,"belajar daring jadi tantangan saat pandemi, ini bisa jadi solusi"
143,simak 3 tips jaga keamanan digital anak saat menjelajahi dunia maya
144,"catat, 5 cara lindungi mata anak selama belajar daring"
145,"jenuh belajar daring, siswa sd di garut 'hijrah' jadi pengamen boneka"
146,siswa di kota madiun masih harus betah belajar dari rumah
147,"masih zona merah covid-19, belajar daring di palembang kembali diperpanjang"
148,5 tips bikin suasana belajar online yang menyenangkan di rumah
149,"agar tak bosan, viral aksi siswa nge-rap pakai materi pelajaran sejarah"
150,"gunakan pakaian adat saat mengajar secara daring, guru ini curi perhatian warganet"
151,pro kontra belajar tatap muka saat pendemi covid-19 di riau
152,"penerima bantuan paket kuota internet dari kemendikbud meningkat hingga 37,5 juta"
153,anak harus tetap dibiasakan menulis dengan tangan meski belajar daring
154,cerita siswa smp yang nilainya kosong selama 1 semester karena tak punya gawai
155,"cara efektif belajar daring di masa pandemi covid-19, ini saran kak seto"
156,"satu-satunya siswa yang tak punya ponsel, agung terpaksa ujian tatap muka di sekolah"
157,"zona hijau covid-19, siswa sd dan smp di talaud mulai belajar di sekolah"
158,"bantu siswa kurang mampu belajar daring, gubernur sulut gelontorkan miliaran rupiah"
159,aplikasi gratis merdeka belajar sebagai wujud bakti untuk negeri
160,wi-fi gratis ditpolairud sulut untuk siswa di pesisir pantai kota bitung
161,deretan fakta terkait belajar online sebabkan anak sd meninggal dunia
162,guru minta maaf terkait muncul logo pdip saat belajar daring
163,bagi-bagi kuota internet 10 gb rp10 untuk 25 ribu pelajar di kota kupang
164,cara telkomsel penuhi kebutuhan jaringan internet belajar daring di sumsel
165,semangat bocah difabel di ntt belajar bersama guru berhati mulia
166,belajar daring lewat radio diterapkan di musi banyuasin selama pandemi covid-19
167,pelajar di sumsel segera terima paket internet gratis selama belajar daring di rumah
168,"nasib siswa di kota bogor, 5 bulan bolos belajar daring karena tak miliki hp"
169,gus jazil: pendidikan jarak jauh tidak bisa mengajarkan adab dan sopan santun
170,smrc: 92 persen siswa merasa pembelajaran daring banyak masalah
171,"kisah nelangsa novi, pelajar cerdas gunungkidul yang terpaksa pinjam ponsel di konter"
172,pemkab trenggalek kenalkan metode belajar bauran di tengah covid-19
173,"kurangi beban siswa, sma di sidoarjo ini bagikan kuota internet gratis"
174,"smp di kota kupang mulai belajar tatap muka, begini sistemnya"
175,"cara siswa demi belajar daring, pakai ht hingga cari sinyal di pemakaman"
176,"bison, fasilitas belajar daring gratis bagi siswa dari undika surabaya"
177,"kisah pemilik toko listrik di bandung, sediakan wifi gratis bantu siswa belajar daring"
178,ratusan rw di kota tangerang difasilitasi internet gratis untuk belajar daring
179,langkah siswa berkebutuhan khusus di ntt terseok-seok ikuti belajar daring
180,"tak ada jaringan internet, pelajar di ntt sekolah tatap muka di bawah pohon"
181,keterbatasan memaksa siswa di bangkalan belajar di kantor polisi
182,"belajar daring, pelajar manfaatkan wifi pendopo kecamatan tambaksari surabaya"
183,"miris, ayah di garut nekat curi hp agar anaknya bisa belajar online"
184,"tak mampu beli hp, pelajar smp di pedalaman siak cari tumpangan untuk belajar online"
185,perjuangan pelajar di agam mendaki bukit demi dapat sinyal untuk sekolah
186,cek fakta: hoaks foto siswi pilih bunuh diri karena tak punya ponsel untuk belajar daring
187,top 3 surabaya: dprd minta dana bos untuk biayai belajar daring
188,dprd surabaya minta dana bos untuk biayai belajar daring
189,"belajar online bikin kurang gerak, ortu perlu ajarkan anak gaya hidup aktif"
190,warkop pitulikur surabaya fasilitasi siswa belajar daring siang hingga malam
191,"ada 1.300 titik tak terjangkau internet, belajar daring di jabar terhambat"
192,pemprov dki pastikan pembelajaran tahun ajaran baru masih secara daring
193,"agar belajar online tetap efektif, ini 6 tips dari gugus tugas"
194,kemendikbud: belajar online masih ada sedikit kekurangan
195,"tahun ajaran baru di jabar, siswa masih belajar secara daring"
196,mendikbud: guru penentu kualitas pembelajaran daring di tengah pandemi covid-19
197,"new normal sekolah, lpai: perlu modifikasi teknik belajar mengajar"
198,kisah kiswanto ajari siswa di desa transmigrasi jambi bermodal sinyal pas-pasan
199,3 tokoh peduli pendidikan ini berbagi cara belajar daring yang seru dan efektif
